,State,Month,Predicted Value,Value,State_encoded,Error,Absolute Error,Squared Error
47,Arkansas,6,29.266664543225378,23.7,3,5.566664543225379,5.566664543225379,30.987754136802614
48,California,3,28.725461784809884,11.5,4,17.225461784809884,17.225461784809884,296.7165336999457
49,California,3,28.725461784809884,14.9,4,13.825461784809884,13.825461784809884,191.14339356323848
50,California,3,28.725461784809884,19.0,4,9.725461784809884,9.725461784809884,94.58460692779745
51,California,4,28.899948991062683,11.8,4,17.099948991062682,17.099948991062682,292.4082554969456
52,California,4,28.899948991062683,16.4,4,12.499948991062684,12.499948991062684,156.248724779169
53,California,4,28.899948991062683,19.5,4,9.399948991062683,9.399948991062683,88.35904103458034
54,California,5,29.074436197315478,12.2,4,16.87443619731548,16.87443619731548,284.7465969772709
55,California,5,29.074436197315478,17.2,4,11.874436197315479,11.874436197315479,141.0022350041161
56,California,5,29.074436197315478,20.7,4,8.374436197315479,8.374436197315479,70.13118162290773
57,California,6,29.248923403568273,11.7,4,17.548923403568274,17.548923403568274,307.9647126243063
58,California,6,29.248923403568273,16.5,4,12.748923403568273,12.748923403568273,162.53504795005085
59,California,6,29.248923403568273,20.2,4,9.048923403568274,9.048923403568274,81.88301476364563
60,Colorado,3,28.70772064515278,12.1,5,16.60772064515278,16.60772064515278,275.8163850274339
61,Colorado,3,28.70772064515278,17.6,5,11.107720645152778,11.107720645152778,123.38145793075324
62,Colorado,3,28.70772064515278,19.6,5,9.107720645152778,9.107720645152778,82.95057535014213
63,Colorado,4,28.88220785140558,12.7,5,16.18220785140558,16.18220785140558,261.8638509460924
64,Colorado,4,28.88220785140558,18.7,5,10.182207851405579,10.182207851405579,103.67735672922542
65,Colorado,4,28.88220785140558,21.3,5,7.5822078514055775,7.5822078514055775,57.489875901916385
66,Colorado,5,29.056695057658374,14.3,5,14.756695057658373,14.756695057658373,217.76004902471905
67,Colorado,5,29.056695057658374,17.9,5,11.156695057658375,11.156695057658375,124.47184460957881
68,Colorado,5,29.056695057658374,21.3,5,7.756695057658373,7.756695057658373,60.166318217501825
69,Colorado,6,29.23118226391117,14.2,5,15.03118226391117,15.03118226391117,225.9364402509177
70,Colorado,6,29.23118226391117,17.6,5,11.631182263911167,11.631182263911167,135.28440085632172
71,Colorado,6,29.23118226391117,21.5,5,7.731182263911169,7.731182263911169,59.771179197814625
72,Connecticut,3,28.689979505495675,11.7,6,16.989979505495675,16.989979505495675,288.6594035971631
73,Connecticut,3,28.689979505495675,14.2,6,14.489979505495675,14.489979505495675,209.9595060696847
74,Connecticut,3,28.689979505495675,17.9,6,10.789979505495676,10.789979505495676,116.42365772901671
75,Connecticut,4,28.86446671174847,13.4,6,15.46446671174847,15.46446671174847,239.14973067877654
76,Connecticut,4,28.86446671174847,19.4,6,9.464466711748472,9.464466711748472,89.57613013779492
77,Connecticut,4,28.86446671174847,22.7,6,6.164466711748471,6.164466711748471,38.00064984025501
78,Connecticut,5,29.03895391800127,11.6,6,17.438953918001268,17.438953918001268,304.1171137541718
79,Connecticut,5,29.03895391800127,15.0,6,14.038953918001269,14.038953918001269,197.09222711176318
80,Connecticut,5,29.03895391800127,19.7,6,9.33895391800127,9.33895391800127,87.21606028255127
81,Connecticut,6,29.213441124254064,12.5,6,16.713441124254064,16.713441124254064,279.33911421390695
82,Connecticut,6,29.213441124254064,15.7,6,13.513441124254065,13.513441124254065,182.61309101868096
83,Connecticut,6,29.213441124254064,19.0,6,10.213441124254064,10.213441124254064,104.31437959860412
84,Delaware,3,28.67223836583857,14.4,7,14.27223836583857,14.27223836583857,203.69678797131442
85,Delaware,3,28.67223836583857,15.4,7,13.27223836583857,13.27223836583857,176.15231123963727
86,Delaware,3,28.67223836583857,19.1,7,9.572238365838569,9.572238365838569,91.62774733243184
87,Delaware,4,28.846725572091366,15.6,7,13.246725572091366,13.246725572091366,175.4757383822993
88,Delaware,4,28.846725572091366,19.0,7,9.846725572091366,9.846725572091366,96.95800449207803
89,Delaware,4,28.846725572091366,22.9,7,5.946725572091367,5.946725572091367,35.3635450297654
90,Delaware,5,29.021212778344164,17.5,7,11.521212778344164,11.521212778344164,132.73834388388087
91,Delaware,5,29.021212778344164,17.0,7,12.021212778344164,12.021212778344164,144.50955666222504
92,Delaware,5,29.021212778344164,21.5,7,7.5212127783441645,7.5212127783441645,56.56864165712754
93,Delaware,6,29.19569998459696,16.7,7,12.49569998459696,12.49569998459696,156.14251810505647
94,Delaware,6,29.19569998459696,20.2,7,8.99569998459696,8.99569998459696,80.92261821287775
95,Delaware,6,29.19569998459696,24.1,7,5.095699984596958,5.095699984596958,25.966158333021443
96,District of Columbia,3,28.654497226181466,8.8,8,19.854497226181465,19.854497226181465,394.2010601044475
